ts,o,h,l,c,v
2020-01-01 00:00:00,129.12,129.12,128.65,128.87,5453.601
2020-01-01 00:15:00,128.88,128.99,128.66,128.75,3878.638
2020-01-01 00:30:00,128.74,128.98,128.74,128.82,2724.349
2020-01-01 00:45:00,128.83,128.92,128.62,128.82,2891.103
2020-01-01 01:00:00,128.81,129.19,128.76,129.12,4991.533
2020-01-01 01:15:00,129.09,130.5,129.05,130.22,14931.572
2020-01-01 01:30:00,130.22,130.61,130.12,130.24,8932.033
2020-01-01 01:45:00,130.24,130.57,129.78,130.57,5900.118
2020-01-01 02:00:00,130.58,130.97,130.3,130.41,5757.496
2020-01-01 02:15:00,130.4,130.88,130.37,130.72,7951.782
2020-01-01 02:30:00,130.73,130.88,130.55,130.67,3673.341
2020-01-01 02:45:00,130.66,130.84,130.6,130.8,4482.327
2020-01-01 03:00:00,130.8,130.82,130.02,130.15,4563.177
2020-01-01 03:15:00,130.15,130.45,130.13,130.39,2922.821
2020-01-01 03:30:00,130.38,130.4,130.02,130.02,3572.089
2020-01-01 03:45:00,130.02,130.28,129.88,130.09,5765.084
2020-01-01 04:00:00,130.1,130.4,130.09,130.16,3024.237
2020-01-01 04:15:00,130.15,130.28,130.1,130.11,1548.623
2020-01-01 04:30:00,130.11,130.63,130.11,130.43,4794.426
2020-01-01 04:45:00,130.43,130.52,130.12,130.15,1989.953
2020-01-01 05:00:00,130.15,130.36,130.08,130.14,3106.608
2020-01-01 05:15:00,130.16,130.32,130.05,130.26,1960.794
2020-01-01 05:30:00,130.25,130.28,130.2,130.25,1123.272
2020-01-01 05:45:00,130.28,130.37,130.2,130.23,1660.534
2020-01-01 06:00:00,130.23,130.57,130.22,130.41,3505.747
2020-01-01 06:15:00,130.41,130.67,130.37,130.65,3732.991
2020-01-01 06:30:00,130.65,130.67,130.53,130.58,1421.09
2020-01-01 06:45:00,130.57,130.57,130.21,130.36,4038.343
2020-01-01 07:00:00,130.36,130.46,130.29,130.44,1629.596
2020-01-01 07:15:00,130.44,130.59,130.36,130.51,3039.027
2020-01-01 07:30:00,130.53,130.6,130.0,130.08,4357.941
2020-01-01 07:45:00,130.08,130.26,130.07,130.17,5880.541
2020-01-01 08:00:00,130.15,130.19,129.96,130.02,2985.961
2020-01-01 08:15:00,129.98,130.08,129.75,129.96,7013.5
2020-01-01 08:30:00,129.96,130.06,129.83,129.85,1635.316
2020-01-01 08:45:00,129.85,130.24,129.78,130.24,3077.38
2020-01-01 09:00:00,130.24,130.49,130.15,130.19,3990.333
2020-01-01 09:15:00,130.18,130.3,130.14,130.23,1323.336
2020-01-01 09:30:00,130.23,130.34,130.22,130.27,1019.111
2020-01-01 09:45:00,130.27,130.27,130.01,130.03,1234.73
2020-01-01 10:00:00,130.02,130.42,129.97,130.4,5771.251
2020-01-01 10:15:00,130.42,130.46,130.24,130.45,1937.15
2020-01-01 10:30:00,130.46,130.68,130.37,130.66,2271.047
2020-01-01 10:45:00,130.67,130.68,130.52,130.59,2414.467
2020-01-01 11:00:00,130.59,130.73,130.53,130.65,1710.668
2020-01-01 11:15:00,130.65,131.88,130.61,131.64,18034.854
2020-01-01 11:30:00,131.6,131.7,131.26,131.52,5234.778
2020-01-01 11:45:00,131.52,131.58,130.5,130.64,10713.075
2020-01-01 12:00:00,130.63,131.04,130.63,130.87,3475.891
2020-01-01 12:15:00,130.85,131.19,130.83,130.9,2288.31
2020-01-01 12:30:00,130.91,131.23,130.87,131.17,2845.05
2020-01-01 12:45:00,131.16,131.58,131.07,131.53,6704.784
2020-01-01 13:00:00,131.57,131.97,131.36,131.45,6339.253
2020-01-01 13:15:00,131.45,131.45,131.18,131.35,2111.942
2020-01-01 13:30:00,131.34,131.63,131.34,131.59,3587.575
2020-01-01 13:45:00,131.6,131.78,131.47,131.55,3728.331
2020-01-01 14:00:00,131.55,131.58,131.16,131.51,3580.399
2020-01-01 14:15:00,131.5,132.15,131.5,132.1,6872.746
2020-01-01 14:30:00,132.1,132.24,131.73,131.98,8231.012
2020-01-01 14:45:00,131.98,131.98,131.7,131.82,3305.095
2020-01-01 15:00:00,131.87,132.1,131.81,131.9,4436.015
2020-01-01 15:15:00,131.88,131.9,131.52,131.62,2493.664
2020-01-01 15:30:00,131.62,132.49,131.57,131.92,8485.952
2020-01-01 15:45:00,131.92,132.07,131.63,131.97,7198.288
2020-01-01 16:00:00,132.0,132.3,131.74,132.13,9885.25
2020-01-01 16:15:00,132.13,132.13,131.71,131.97,5571.817
2020-01-01 16:30:00,131.94,132.31,131.9,132.26,3738.841
2020-01-01 16:45:00,132.26,132.9,132.2,132.79,7033.067
2020-01-01 17:00:00,132.8,132.96,132.36,132.53,7571.329
2020-01-01 17:15:00,132.58,132.86,132.31,132.67,8112.422
2020-01-01 17:30:00,132.66,132.67,132.22,132.25,4798.853
2020-01-01 17:45:00,132.27,132.45,132.23,132.31,2557.225
2020-01-01 18:00:00,132.31,132.38,132.01,132.29,4123.28
2020-01-01 18:15:00,132.29,132.36,131.59,131.69,5189.395
2020-01-01 18:30:00,131.74,131.87,131.45,131.87,5430.969
2020-01-01 18:45:00,131.88,132.01,131.62,131.94,2952.227
2020-01-01 19:00:00,131.94,131.94,131.54,131.75,3394.876
2020-01-01 19:15:00,131.76,131.89,131.53,131.66,3633.137
2020-01-01 19:30:00,131.66,132.04,131.66,131.74,3161.31
2020-01-01 19:45:00,131.73,131.92,131.73,131.79,1570.486
2020-01-01 20:00:00,131.79,131.89,131.69,131.79,3510.555
2020-01-01 20:15:00,131.78,132.18,131.6,132.09,4609.385
2020-01-01 20:30:00,132.09,132.1,131.81,131.99,4119.061
2020-01-01 20:45:00,132.0,132.14,131.91,132.09,2119.919
2020-01-01 21:00:00,132.09,132.18,131.9,132.01,3745.143
2020-01-01 21:15:00,132.01,132.25,131.92,131.98,3932.876
2020-01-01 21:30:00,132.0,132.07,131.57,131.89,3666.794
2020-01-01 21:45:00,131.89,132.12,131.62,131.77,7111.779
2020-01-01 22:00:00,131.77,131.77,130.13,130.59,28281.376
2020-01-01 22:15:00,130.59,130.66,130.27,130.32,2391.522
2020-01-01 22:30:00,130.29,130.29,129.8,129.98,5901.69
2020-01-01 22:45:00,129.98,130.46,129.84,130.21,8430.912
2020-01-01 23:00:00,130.21,130.21,129.54,129.85,10614.971
2020-01-01 23:15:00,129.85,130.45,129.84,130.41,7330.424
2020-01-01 23:30:00,130.39,130.48,130.11,130.42,5300.34
2020-01-01 23:45:00,130.44,130.78,130.41,130.62,5016.647
2020-01-02 00:00:00,130.63,130.63,130.2,130.29,8061.031
2020-01-02 00:15:00,130.27,130.39,130.2,130.32,2088.267
2020-01-02 00:30:00,130.32,130.6,130.3,130.6,1590.872
2020-01-02 00:45:00,130.63,130.75,130.42,130.6,4152.44
2020-01-02 01:00:00,130.61,130.61,130.32,130.35,3366.553
2020-01-02 01:15:00,130.36,130.51,130.36,130.41,3162.27
2020-01-02 01:30:00,130.41,130.42,130.11,130.17,3797.224
2020-01-02 01:45:00,130.17,130.23,130.09,130.17,2689.213
2020-01-02 02:00:00,130.13,130.13,129.48,129.64,10389.473
2020-01-02 02:15:00,129.67,129.77,128.86,129.37,14241.224
2020-01-02 02:30:00,129.35,129.69,129.09,129.66,9540.558
2020-01-02 02:45:00,129.65,129.8,129.49,129.7,4516.789
2020-01-02 03:00:00,129.7,129.7,129.35,129.48,4746.251
2020-01-02 03:15:00,129.49,129.49,129.15,129.27,5501.705
2020-01-02 03:30:00,129.3,129.33,129.0,129.04,4703.02
2020-01-02 03:45:00,129.02,129.16,128.75,129.09,8806.344
2020-01-02 04:00:00,129.07,129.52,128.67,129.38,13916.269
2020-01-02 04:15:00,129.4,129.73,129.4,129.54,4056.006
2020-01-02 04:30:00,129.52,129.83,129.4,129.65,4342.928
2020-01-02 04:45:00,129.63,129.72,129.49,129.55,5717.625
2020-01-02 05:00:00,129.54,129.62,129.32,129.4,3022.831
2020-01-02 05:15:00,129.41,129.71,129.38,129.4,2611.221
2020-01-02 05:30:00,129.36,129.65,129.35,129.47,3339.133
2020-01-02 05:45:00,129.47,129.6,129.3,129.58,3711.016
2020-01-02 06:00:00,129.58,129.65,129.48,129.5,1242.026
2020-01-02 06:15:00,129.5,129.84,129.46,129.84,2429.693
2020-01-02 06:30:00,129.84,129.96,129.72,129.75,3187.839
2020-01-02 06:45:00,129.78,129.78,129.15,129.39,4192.803
2020-01-02 07:00:00,129.39,129.65,129.16,129.32,4803.283
2020-01-02 07:15:00,129.32,129.32,129.01,129.1,7126.584
2020-01-02 07:30:00,129.08,129.53,128.96,129.53,7512.117
2020-01-02 07:45:00,129.45,129.59,129.16,129.28,3935.749
2020-01-02 08:00:00,129.2,129.92,129.17,129.86,4977.137
2020-01-02 08:15:00,129.87,129.9,129.62,129.66,3931.226
2020-01-02 08:30:00,129.65,130.08,129.6,129.98,5283.984
2020-01-02 08:45:00,129.96,130.22,129.84,130.14,4867.058
2020-01-02 09:00:00,130.14,130.15,129.73,129.82,3662.627
2020-01-02 09:15:00,129.81,129.87,129.57,129.63,4270.605
2020-01-02 09:30:00,129.61,129.8,129.57,129.74,5577.715
2020-01-02 09:45:00,129.75,129.99,129.72,129.96,3014.242
2020-01-02 10:00:00,129.92,130.24,129.79,130.08,4512.29
2020-01-02 10:15:00,130.09,130.1,129.85,130.05,5650.975
2020-01-02 10:30:00,130.05,130.13,129.82,129.83,5201.174
2020-01-02 10:45:00,129.83,129.84,129.61,129.66,3709.487
2020-01-02 11:00:00,129.65,129.87,129.65,129.77,2998.157
2020-01-02 11:15:00,129.77,129.77,129.41,129.51,4048.689
2020-01-02 11:30:00,129.51,129.65,129.32,129.58,4992.825
2020-01-02 11:45:00,129.58,129.64,129.41,129.48,2642.897
2020-01-02 12:00:00,129.47,129.94,129.45,129.86,6146.318
2020-01-02 12:15:00,129.82,129.85,129.57,129.7,2449.789
2020-01-02 12:30:00,129.69,129.69,129.47,129.62,1702.631
2020-01-02 12:45:00,129.62,129.89,129.59,129.88,3675.412
2020-01-02 13:00:00,129.89,129.95,129.71,129.84,2867.101
2020-01-02 13:15:00,129.83,129.88,129.71,129.74,1271.399
2020-01-02 13:30:00,129.74,129.75,129.0,129.28,10349.417
2020-01-02 13:45:00,129.26,129.56,128.79,129.31,9600.108
2020-01-02 14:00:00,129.31,129.5,129.11,129.24,5310.107
2020-01-02 14:15:00,129.26,129.34,129.2,129.31,5173.361
2020-01-02 14:30:00,129.31,129.68,129.22,129.68,7556.452
2020-01-02 14:45:00,129.67,129.87,129.24,129.3,6008.575
2020-01-02 15:00:00,129.3,129.64,129.28,129.52,3112.006
2020-01-02 15:15:00,129.53,129.59,129.31,129.34,3269.608
2020-01-02 15:30:00,129.34,129.52,129.26,129.52,3048.641
2020-01-02 15:45:00,129.53,129.59,129.47,129.48,3549.018
2020-01-02 16:00:00,129.5,129.65,129.0,129.07,7585.666
2020-01-02 16:15:00,129.07,129.3,129.03,129.27,5167.407
2020-01-02 16:30:00,129.26,129.37,129.1,129.12,3089.419
2020-01-02 16:45:00,129.12,129.12,126.79,127.45,58886.181
2020-01-02 17:00:00,127.45,127.47,126.25,126.78,41051.498
2020-01-02 17:15:00,126.76,127.29,126.43,126.74,13148.713
2020-01-02 17:30:00,126.74,127.6,126.69,127.44,9587.33
2020-01-02 17:45:00,127.45,127.45,127.12,127.36,3865.689
2020-01-02 18:00:00,127.38,127.42,127.07,127.3,4463.505
2020-01-02 18:15:00,127.3,127.45,127.3,127.3,3497.842
2020-01-02 18:30:00,127.24,127.5,127.1,127.46,2551.284
2020-01-02 18:45:00,127.46,127.63,127.39,127.46,2942.022
2020-01-02 19:00:00,127.44,127.48,127.05,127.27,4171.265
2020-01-02 19:15:00,127.28,127.43,127.11,127.25,4150.977
2020-01-02 19:30:00,127.28,127.52,127.13,127.34,3943.955
2020-01-02 19:45:00,127.34,127.56,127.34,127.53,2719.185
2020-01-02 20:00:00,127.53,127.55,127.15,127.2,2559.56
2020-01-02 20:15:00,127.2,127.24,126.7,126.86,5700.051
2020-01-02 20:30:00,126.86,127.32,126.86,127.1,3495.376
2020-01-02 20:45:00,127.1,127.3,127.09,127.11,4382.436
2020-01-02 21:00:00,127.11,127.25,127.11,127.19,1673.086
2020-01-02 21:15:00,127.19,127.4,127.16,127.37,2189.784
2020-01-02 21:30:00,127.37,127.77,127.36,127.72,3182.445
2020-01-02 21:45:00,127.72,127.79,127.63,127.65,1453.844
2020-01-02 22:00:00,127.65,127.65,127.22,127.26,1737.548
2020-01-02 22:15:00,127.24,127.35,127.22,127.24,1259.78
2020-01-02 22:30:00,127.24,127.33,127.23,127.26,1712.182
2020-01-02 22:45:00,127.26,127.36,127.25,127.29,859.336
2020-01-02 23:00:00,127.32,127.41,127.06,127.08,3356.7
2020-01-02 23:15:00,127.08,127.12,126.86,127.02,3651.51
